,artistName,total_listens,genres
5248,Mac Demarco,39,edmonton indie
5819,Mt. Joy,39,indie folk
3737,Houndmouth,39,modern rock
6390,Paul McCartney,38,art rock
492,BADBADNOTGOOD,38,canadian modern jazz
9931,Young Thug,38,melodic rap
4917,Lawrence,38,retro soul
7239,Sam Cooke,38,adult standards
776,Big Sean,37,southern hip hop
8255,The Beta Band,37,scottish indie
7857,Still Woozy,37,oakland indie
8521,The Growlers,36,indie garage rock
5650,Miles Davis,36,hard bop
4344,John Lennon,35,art rock
8744,The Murlocs,35,australian garage punk
520,Babe Rainbow,35,indie garage rock
9360,Trombone Shorty,35,new orleans funk
6758,R.E.M.,35,rock
9346,Travis Scott,35,rap
8638,The Macpodz,34,michigan indie
8637,The Lumineers,34,stomp and holler
5373,Marvin Gaye,34,classic soul
7697,Spiritualized,33,art rock
6037,Niccolò Paganini,33,classical
7579,Snarky Puppy,33,progressive jazz fusion
1782,Cotton Jones,33,chamber pop
5130,Louis The Child,33,electropop
3851,J Dilla,33,hip hop
9423,"Tyler, The Creator",32,hip hop
3497,Grizzly Bear,32,chamber pop
9406,Ty Segall,32,blues rock
4557,KAYTRANADA,32,escape room
6069,Nicki Minaj,32,dance pop
7747,Steely Dan,31,album rock
2022,Daniel Caesar,31,canadian contemporary r&b
5169,Ludwig van Beethoven,31,classical
1989,DRAM,30,rap
7881,Sublime,29,reggae fusion
9477,Van Morrison,29,folk
2990,Flume,29,pop
4918,Led Zeppelin,28,album rock
597,Banes World,28,bedroom pop
6535,Phoebe Bridgers,28,indie pop
3088,Frankie Cosmos,28,indie rock
5089,Logic,28,conscious hip hop
3296,Gibbz,28,indie poptimism
8168,The Allman Brothers Band,27,album rock
5901,NRBQ,27,roots rock
9518,Vince Staples,27,conscious hip hop
2955,Fleet Foxes,27,stomp and holler
8561,The Impressions,27,soul
6413,Pavement,26,garage rock
7598,Soccer Mommy,26,indie pop
4806,Kurt Vile,26,indie folk
6106,No Vacation,26,indie garage rock
9678,White Noise Therapy,26,sleep
6298,PHONY PPL,26,neo r&b
3570,H.E.R.,26,pop
8047,Talking Heads,25,rock
1381,Cardi B,25,pop rap
3992,Jamie xx,25,indietronica
3973,James Taylor,25,adult standards
9871,Yellow Days,24,bedroom pop
784,Big Thief,23,indie folk
3347,GoldLink,23,dmv rap
6632,Post Malone,23,rap
6169,Of Monsters and Men,23,folk-pop
2553,Earl Sweatshirt,23,underground hip hop
9993,Zac Brown Band,23,country
6258,Otis Redding,23,funk
8579,The Killers,23,modern rock
6078,Nico,22,experimental rock
9634,Waylon Jennings,22,country
4875,Langhorne Slim,22,stomp and holler
636,Beach Fossils,22,indie garage rock
3271,George Harrison,22,psychedelic rock
9014,The War On Drugs,22,chamber pop
1525,Charles Bradley,22,soul
3203,Galantis,21,tropical house
255,Alvvays,21,toronto indie
1731,Coldplay,20,permanent wave
4958,Lightnin Hopkins,20,acoustic blues
3788,Innanet James,20,dmv rap
6147,OMI,20,tropical house
5149,Loving,20,victoria bc indie
2058,Dave Matthews Band,20,pop rock
3161,Future,19,atl hip hop
5083,Local Natives,19,la indie
737,Beyoncé,19,pop
26,21 Savage,19,rap
1586,Chicago Mass Choir,19,praise
9075,The Zombies,19,roots rock
4117,Jeff Tweedy,19,alternative country
2020,Danger Doom,19,alternative hip hop
9135,Thundercat,18,indie soul
5714,Modest Mouse,18,indie pop
5187,LunchMoney Lewis,18,miami hip hop
2335,Divino Niño,18,indie shoegaze
433,Armin van Buuren,18,progressive house
735,Better Oblivion Community Center,17,stomp and holler
7366,Sharon Van Etten,17,art pop
1004,Bob Marley & The Wailers,17,reggae
6861,Ramin Djawadi,17,video game music
2162,Dehd,17,garage psych
7822,Steve Lacy,17,rap
5947,Natural Child,16,indie garage rock
5197,Lynyrd Skynyrd,16,country rock
3331,Gladys Knight & The Pips,16,quiet storm
4971,Lil Dicky,16,rap
4025,Japanese Breakfast,16,indie rock
1048,Bombay Bicycle Club,16,rock
8777,The OMys,16,alternative r&b
1011,Bobby Hebb,16,northern soul
2719,Eric Clapton,16,classic rock
8343,The Clash,16,classic rock
1308,Caamp,16,stomp and holler
8578,The Jungle Giants,16,indietronica
3833,Isaiah Rashad,16,hip hop
6402,Paul Simon,15,roots rock
7848,Stevie Wonder,15,quiet storm
7714,Spoon,15,indie pop
5209,M83,15,french shoegaze
1595,Childish Gambino,15,rap
1667,Clarence Carter,15,classic soul
1329,Calvin Harris,15,electro house
9327,Trampled By Turtles,15,duluth indie
4706,Kevin Morby,15,stomp and holler
5414,Matoma,15,pop
2653,Elliott Smith,14,alternative rock
5225,MF DOOM,14,hip hop
4456,Joyce Manor,14,indie punk
6098,Nina Simone,14,soul jazz
6694,Punch Brothers,14,chamber pop
7551,Smino,14,alternative r&b
5484,Meek Mill,14,trap
290,Aminé,14,portland hip hop
