,artistName,total_listens,genres
2101,Jay Som,85,bay area indie
3116,Okey Dokey,85,indie garage rock
2100,Jay Som,85,art pop
2108,Jay Som,85,indie pop
2102,Jay Som,85,chamber pop
2103,Jay Som,85,chillwave
2104,Jay Som,85,dream pop
2105,Jay Som,85,experimental pop
2111,Jay Som,85,oakland indie
2106,Jay Som,85,freak folk
2107,Jay Som,85,indie folk
2112,Jay Som,85,small room
2109,Jay Som,85,indie rock
2110,Jay Som,85,indietronica
1094,Death Cab for Cutie,80,indie pop
1098,Death Cab for Cutie,80,washington indie
1095,Death Cab for Cutie,80,indie rock
1096,Death Cab for Cutie,80,modern rock
1097,Death Cab for Cutie,80,pop rock
5253,together PANGEA,78,indie garage rock
5254,together PANGEA,78,indie punk
4432,The Head and the Heart,78,indie pop
3108,Of Monsters and Men,78,folk-pop
3109,Of Monsters and Men,78,indie pop
3113,Of Monsters and Men,78,stomp and holler
4430,The Head and the Heart,78,folk-pop
4431,The Head and the Heart,78,indie folk
4433,The Head and the Heart,78,neo mellow
4434,The Head and the Heart,78,new americana
4435,The Head and the Heart,78,seattle indie
4436,The Head and the Heart,78,stomp and holler
3112,Of Monsters and Men,78,pop rock
3111,Of Monsters and Men,78,modern rock
3110,Of Monsters and Men,78,metropopolis
5216,boy pablo,77,norwegian indie
5215,boy pablo,77,indie pop
5214,boy pablo,77,bergen indie
5213,boy pablo,77,bedroom pop
1215,Djo,72,psychedelic pop
2870,Mild High Club,71,neo-psychedelic
2869,Mild High Club,71,indie garage rock
2182,Joey Bada$$,70,underground hip hop
3039,Neutral Milk Hotel,70,e6fi
2181,Joey Bada$$,70,southern hip hop
3035,Neutral Milk Hotel,70,alternative rock
3036,Neutral Milk Hotel,70,anti-folk
3037,Neutral Milk Hotel,70,athens indie
2180,Joey Bada$$,70,rap
3038,Neutral Milk Hotel,70,chamber pop
2179,Joey Bada$$,70,hip hop
2178,Joey Bada$$,70,conscious hip hop
3045,Neutral Milk Hotel,70,noise pop
3044,Neutral Milk Hotel,70,modern rock
3043,Neutral Milk Hotel,70,lo-fi
3042,Neutral Milk Hotel,70,indie rock
3040,Neutral Milk Hotel,70,freak folk
3041,Neutral Milk Hotel,70,indie pop
2348,Kanye West,68,chicago rap
2349,Kanye West,68,rap
1867,Hers,67,indie garage rock
1868,Hers,67,indie pop
1869,Hers,67,liverpool indie
230,Arcade Fire,67,indie rock
222,Arcade Fire,67,alternative dance
223,Arcade Fire,67,alternative rock
224,Arcade Fire,67,baroque pop
225,Arcade Fire,67,canadian indie
226,Arcade Fire,67,chamber pop
227,Arcade Fire,67,dance-punk
228,Arcade Fire,67,garage rock
229,Arcade Fire,67,indie pop
231,Arcade Fire,67,indietronica
232,Arcade Fire,67,modern rock
233,Arcade Fire,67,new rave
234,Arcade Fire,67,permanent wave
235,Arcade Fire,67,quebec indie
236,Arcade Fire,67,rock
2788,Men I Trust,66,indie pop
5162,Yo La Tengo,64,permanent wave
5153,Yo La Tengo,64,chamber pop
5152,Yo La Tengo,64,art pop
5151,Yo La Tengo,64,anti-folk
5150,Yo La Tengo,64,alternative rock
5160,Yo La Tengo,64,new jersey indie
5158,Yo La Tengo,64,indie rock
5154,Yo La Tengo,64,dream pop
5163,Yo La Tengo,64,slow core
5161,Yo La Tengo,64,noise pop
5155,Yo La Tengo,64,freak folk
5156,Yo La Tengo,64,indie folk
5157,Yo La Tengo,64,indie pop
5159,Yo La Tengo,64,lo-fi
2462,Kweku Collins,61,underground hip hop
332,Babe Rainbow,61,australian reggae fusion
333,Babe Rainbow,61,indie garage rock
334,Babe Rainbow,61,neo-psychedelic
331,Babe Rainbow,61,australian garage punk
1450,Father John Misty,59,rock
1449,Father John Misty,59,indie rock
1451,Father John Misty,59,stomp and holler
1448,Father John Misty,59,indie pop
1447,Father John Misty,59,indie folk
2378,Kendrick Lamar,59,hip hop
2377,Kendrick Lamar,59,conscious hip hop
2379,Kendrick Lamar,59,rap
2380,Kendrick Lamar,59,west coast rap
1446,Father John Misty,59,freak folk
1445,Father John Misty,59,chamber pop
1444,Father John Misty,59,art pop
1332,Electric Guest,56,la indie
1335,Electric Guest,56,vapor soul
1334,Electric Guest,56,shimmer pop
1333,Electric Guest,56,modern rock
1331,Electric Guest,56,indietronica
1330,Electric Guest,56,indie rock
1328,Electric Guest,56,alternative dance
1329,Electric Guest,56,indie pop
3373,Post Animal,54,indie garage rock
3374,Post Animal,54,neo-psychedelic
1529,Foxygen,52,indie garage rock
1525,Foxygen,52,chamber pop
1523,Foxygen,52,alternative rock
1526,Foxygen,52,experimental pop
3065,Night Moves,52,indie rock
1527,Foxygen,52,freak folk
1530,Foxygen,52,indie pop
1531,Foxygen,52,indie rock
1534,Foxygen,52,noise pop
1533,Foxygen,52,neo-psychedelic
1532,Foxygen,52,indietronica
1528,Foxygen,52,garage rock
1524,Foxygen,52,baroque pop
2828,Mick Jenkins,51,conscious hip hop
2829,Mick Jenkins,51,drill
2830,Mick Jenkins,51,escape room
5012,Wallows,51,rock
2827,Mick Jenkins,51,chicago rap
4641,The Rolling Stones,51,protopunk
2833,Mick Jenkins,51,underground hip hop
5011,Wallows,51,modern rock
2832,Mick Jenkins,51,rap
2831,Mick Jenkins,51,hip hop
5010,Wallows,51,indie pop
4642,The Rolling Stones,51,rock
4638,The Rolling Stones,51,album rock
4639,The Rolling Stones,51,british invasion
4640,The Rolling Stones,51,classic rock
1208,Disclosure,50,house
1209,Disclosure,50,pop
1211,Disclosure,50,uk dance
1210,Disclosure,50,tropical house
3676,Sam Evian,49,garage psych
3675,Sam Evian,49,freak folk
3674,Sam Evian,49,experimental pop
3679,Sam Evian,49,indie rock
3680,Sam Evian,49,neo-psychedelic
1540,Frank Ocean,49,alternative r&b
1541,Frank Ocean,49,hip hop
3677,Sam Evian,49,indie folk
1542,Frank Ocean,49,lgbtq+ hip hop
1543,Frank Ocean,49,neo soul
1544,Frank Ocean,49,pop
3678,Sam Evian,49,indie garage rock
2486,LCD Soundsystem,48,indie rock
2479,LCD Soundsystem,48,alternative dance
2484,LCD Soundsystem,48,garage rock
2483,LCD Soundsystem,48,electronica
2482,LCD Soundsystem,48,electronic rock
2490,LCD Soundsystem,48,rock
2489,LCD Soundsystem,48,new rave
2488,LCD Soundsystem,48,modern rock
2487,LCD Soundsystem,48,indietronica
2480,LCD Soundsystem,48,alternative rock
2481,LCD Soundsystem,48,dance-punk
2485,LCD Soundsystem,48,indie pop
77,Acid Dad,46,neo-psychedelic
4621,The Postal Service,45,seattle indie
4620,The Postal Service,45,modern rock
4619,The Postal Service,45,indietronica
4618,The Postal Service,45,indie rock
4617,The Postal Service,45,indie pop
4405,The Flaming Lips,44,alternative rock
4409,The Flaming Lips,44,indie pop
4406,The Flaming Lips,44,art rock
4407,The Flaming Lips,44,chamber pop
4408,The Flaming Lips,44,garage rock
4410,The Flaming Lips,44,indie rock
4411,The Flaming Lips,44,modern rock
4412,The Flaming Lips,44,noise pop
4413,The Flaming Lips,44,okc indie
4414,The Flaming Lips,44,rock
3553,Rex Orange County,43,pop
3552,Rex Orange County,43,indie r&b
3551,Rex Orange County,43,bedroom pop
4788,Theo Katzman,42,retro soul
1004,Crumb,42,neo-psychedelic
1003,Crumb,42,indie garage rock
4787,Theo Katzman,42,modern funk
3350,Polo & Pan,41,french indietronica
3351,Polo & Pan,41,new french touch
3349,Polo & Pan,41,french indie pop
3348,Polo & Pan,41,dark disco
1426,FKJ,40,indie soul
1425,FKJ,40,filter house
3482,Radiohead,39,oxford indie
3483,Radiohead,39,permanent wave
3484,Radiohead,39,rock
3481,Radiohead,39,melancholia
3480,Radiohead,39,art rock
3479,Radiohead,39,alternative rock
4850,Toro y Moi,38,new rave
4851,Toro y Moi,38,nu gaze
4845,Toro y Moi,38,experimental pop
4846,Toro y Moi,38,indie pop
4847,Toro y Moi,38,indie r&b
4848,Toro y Moi,38,indie soul
4849,Toro y Moi,38,indietronica
4020,Sturgill Simpson,38,new americana
4019,Sturgill Simpson,38,nashville singer-songwriter
4844,Toro y Moi,38,chillwave
4843,Toro y Moi,38,art pop
4842,Toro y Moi,38,alternative dance
4018,Sturgill Simpson,38,alternative americana
4022,Sturgill Simpson,38,roots rock
4021,Sturgill Simpson,38,outlaw country
49,A Tribe Called Quest,37,hardcore hip hop
4273,The Beta Band,37,britpop
51,A Tribe Called Quest,37,jazz rap
2400,Kid Cudi,37,hip hop
2401,Kid Cudi,37,pop rap
50,A Tribe Called Quest,37,hip hop
52,A Tribe Called Quest,37,queens hip hop
