,trackName,artistName,total_listens_track,genres
16321,Fire on the Mountain - 2013 Remaster,Grateful Dead,1,psychedelic rock
16322,Fire on the Mountain - 2013 Remaster,Grateful Dead,1,rock
16353,Fireman,Frankie Cosmos,1,indie pop
16369,First Breath After Coma,Explosions in the Sky,1,american post-rock
16288,Fire In The Hole,Steely Dan,1,classic rock
16370,First Breath After Coma,Explosions in the Sky,1,cinematic post-rock
16398,First We Take Manhattan,Leonard Cohen,1,canadian singer-songwriter
16399,First We Take Manhattan,Leonard Cohen,1,folk
16400,First We Take Manhattan,Leonard Cohen,1,folk rock
16401,First We Take Manhattan,Leonard Cohen,1,melancholia
16402,First We Take Manhattan,Leonard Cohen,1,permanent wave
16403,First We Take Manhattan,Leonard Cohen,1,singer-songwriter
16410,Fisher,Camel Power Club,1,french indietronica
16411,Fisher,Camel Power Club,1,new french touch
16412,Fishermans Delight,Spin Doctors,1,alternative rock
16413,Fishermans Delight,Spin Doctors,1,pop rock
16414,Fishermans Delight,Spin Doctors,1,post-grunge
16415,Fishermans Delight,Spin Doctors,1,rock
16416,Fishes and Scorpions,Stephen Stills,1,blues rock
16417,Fishes and Scorpions,Stephen Stills,1,classic rock
16418,Fishes and Scorpions,Stephen Stills,1,country rock
16419,Fishes and Scorpions,Stephen Stills,1,folk
16420,Fishes and Scorpions,Stephen Stills,1,folk rock
16397,First We Take Manhattan,Leonard Cohen,1,canadian folk
16396,First Place,Vulfpeck,1,instrumental funk
16395,First Place,Vulfpeck,1,funk rock
16378,First Day Out (feat. Meek Mill) - Remix,Tee Grizzley,1,pop rap
16371,First Breath After Coma,Explosions in the Sky,1,compositional ambient
16372,First Breath After Coma,Explosions in the Sky,1,instrumental post-rock
16373,First Breath After Coma,Explosions in the Sky,1,melancholia
16374,First Breath After Coma,Explosions in the Sky,1,post-rock
16375,First Day Out (feat. Meek Mill) - Remix,Tee Grizzley,1,detroit hip hop
16376,First Day Out (feat. Meek Mill) - Remix,Tee Grizzley,1,detroit trap
16377,First Day Out (feat. Meek Mill) - Remix,Tee Grizzley,1,hip hop
16379,First Day Out (feat. Meek Mill) - Remix,Tee Grizzley,1,rap
16394,First Place,Vulfpeck,1,ann arbor indie
16380,First Day Out (feat. Meek Mill) - Remix,Tee Grizzley,1,southern hip hop
16381,First Day Out (feat. Meek Mill) - Remix,Tee Grizzley,1,trap
16389,First Off (feat. Travis Scott),Future,1,atl hip hop
16390,First Off (feat. Travis Scott),Future,1,pop rap
16391,First Off (feat. Travis Scott),Future,1,rap
16392,First Off (feat. Travis Scott),Future,1,southern hip hop
16393,First Off (feat. Travis Scott),Future,1,trap
16289,Fire In The Hole,Steely Dan,1,country rock
16287,Fire In The Hole,Steely Dan,1,art rock
16422,Fishes and Scorpions,Stephen Stills,1,psychedelic rock
16221,Fine Young Cannibals,Wolf Parade,1,freak folk
16194,Find Yourself,Great Good Fine OK,1,dance pop
16195,Find Yourself,Great Good Fine OK,1,hopebeat
16196,Find Yourself,Great Good Fine OK,1,indie electropop
16197,Find Yourself,Great Good Fine OK,1,indie pop
16198,Find Yourself,Great Good Fine OK,1,indie poptimism
16199,Find Yourself,Great Good Fine OK,1,indietronica
16200,Find Yourself,Great Good Fine OK,1,metropopolis
16201,Find Yourself,Great Good Fine OK,1,neo-synthpop
16202,Find Yourself,Great Good Fine OK,1,nyc pop
16203,Find Yourself,Great Good Fine OK,1,vapor soul
16213,Fine Line,Harry Styles,1,pop
16214,Fine Line,Harry Styles,1,post-teen pop
16215,Fine Young Cannibals,Wolf Parade,1,alternative rock
16216,Fine Young Cannibals,Wolf Parade,1,art pop
16217,Fine Young Cannibals,Wolf Parade,1,canadian indie
16218,Fine Young Cannibals,Wolf Parade,1,chamber pop
16219,Fine Young Cannibals,Wolf Parade,1,dance-punk
16193,Find Your Love,Drake,1,toronto rap
16192,Find Your Love,Drake,1,rap
16191,Find Your Love,Drake,1,pop rap
16178,Finally Moving,Pretty Lights,1,livetronica
16157,"Fill In The Blank (Live at the Newport Music Hall, Columbus, OH)",Car Seat Headrest,1,indie rock
16158,"Fill In The Blank (Live at the Newport Music Hall, Columbus, OH)",Car Seat Headrest,1,lo-fi
16173,Finally Alone,Mac DeMarco,1,edmonton indie
16174,Finally Moving,Pretty Lights,1,edm
16175,Finally Moving,Pretty Lights,1,glitch hop
16176,Finally Moving,Pretty Lights,1,jam band
16177,Finally Moving,Pretty Lights,1,jazztronica
16179,Find It of Use,Radiation City,1,portland indie
16190,Find Your Love,Drake,1,hip hop
16180,Find It of Use,Radiation City,1,shimmer pop
16182,Find The River,R.E.M.,1,alternative rock
16183,Find The River,R.E.M.,1,permanent wave
16184,Find The River,R.E.M.,1,pop rock
16185,Find The River,R.E.M.,1,rock
16188,Find Your Love,Drake,1,canadian hip hop
16189,Find Your Love,Drake,1,canadian pop
16220,Fine Young Cannibals,Wolf Parade,1,experimental pop
16222,Fine Young Cannibals,Wolf Parade,1,indie folk
16286,Fire In The Hole,Steely Dan,1,album rock
16223,Fine Young Cannibals,Wolf Parade,1,indie pop
16244,Finger,Ty Segall,1,neo-psychedelic
16245,Finger,Ty Segall,1,noise pop
16246,Finger,Ty Segall,1,nu gaze
16247,Finger,Ty Segall,1,punk blues
16248,Finger Back,Vampire Weekend,1,baroque pop
16249,Finger Back,Vampire Weekend,1,indie pop
16250,Finger Back,Vampire Weekend,1,indie rock
16251,Finger Back,Vampire Weekend,1,modern rock
16273,Fire,Waxahatchee,1,alabama indie
16274,Fire,Waxahatchee,1,art pop
16275,Fire,Waxahatchee,1,chamber pop
16276,Fire,Waxahatchee,1,freak folk
16277,Fire,Waxahatchee,1,indie folk
16278,Fire,Waxahatchee,1,indie pop
16279,Fire,Waxahatchee,1,indie punk
16280,Fire,Waxahatchee,1,indie rock
16285,Fire In Freetown,KNAAN,1,reggae fusion
16243,Finger,Ty Segall,1,indie rock
16242,Finger,Ty Segall,1,indie garage rock
16241,Finger,Ty Segall,1,garage rock
16231,Finesse (Hey Baby),Flamingosis,1,future funk
16224,Fine Young Cannibals,Wolf Parade,1,indie rock
16225,Fine Young Cannibals,Wolf Parade,1,lo-fi
16226,Fine Young Cannibals,Wolf Parade,1,modern rock
16227,Fine Young Cannibals,Wolf Parade,1,noise pop
16228,Fine Young Cannibals,Wolf Parade,1,quebec indie
16229,Fine Young Cannibals,Wolf Parade,1,stomp and holler
16230,Finesse (Hey Baby),Flamingosis,1,chillhop
16232,Finesse - Remix; feat. Cardi B,Bruno Mars,1,pop
16240,Finger,Ty Segall,1,garage psych
16233,Finesse - Remix; feat. Cardi B,Bruno Mars,1,post-teen pop
16234,Finger,Ty Segall,1,alternative rock
16235,Finger,Ty Segall,1,australian garage punk
16236,Finger,Ty Segall,1,bay area indie
16237,Finger,Ty Segall,1,blues rock
16238,Finger,Ty Segall,1,freak folk
16239,Finger,Ty Segall,1,garage pop
16421,Fishes and Scorpions,Stephen Stills,1,mellow gold
16423,Fishes and Scorpions,Stephen Stills,1,rock
15457,Failures - 2010 Remaster,Joy Division,1,madchester
16640,Flutes,Hot Chip,1,dance-punk
16607,Floods New Light,Thee Oh Sees,1,nu gaze
16608,Floods New Light,Thee Oh Sees,1,psychedelic punk
16609,Floods New Light,Thee Oh Sees,1,punk blues
16610,Floor Seats (Text Back),Moxas,1,meme rap
16611,Floors,Abhi The Nomad,1,desi hip hop
16612,Floors,Abhi The Nomad,1,vapor soul
16613,Flow,Crooked Colours,1,australian hip hop
16614,Flow,Crooked Colours,1,australian indie
16615,Flow,Crooked Colours,1,indie soul
16616,Flow,Crooked Colours,1,indietronica
16617,Flow,Crooked Colours,1,vapor soul
16626,Flowers,Leon Bridges,1,modern blues
16627,Flowers,Leon Bridges,1,soul
16632,Flowers & Superpowers,Wafia,1,australian hip hop
16633,Flowers & Superpowers,Wafia,1,australian indie
16634,Flowers & Superpowers,Wafia,1,australian pop
16638,Flutes,Hot Chip,1,alternative dance
16606,Floods New Light,Thee Oh Sees,1,noise rock
16605,Floods New Light,Thee Oh Sees,1,noise pop
16604,Floods New Light,Thee Oh Sees,1,neo-psychedelic
16594,Floods New Light,Thee Oh Sees,1,alternative rock
16578,Floats My Boat,Aer,1,pop rap
16588,Flooded,Migos,1,atl hip hop
16589,Flooded,Migos,1,hip hop
16590,Flooded,Migos,1,pop rap
16591,Flooded,Migos,1,rap
16592,Flooded,Migos,1,southern hip hop
16593,Flooded,Migos,1,trap
16595,Floods New Light,Thee Oh Sees,1,australian garage punk
16603,Floods New Light,Thee Oh Sees,1,indie rock
16596,Floods New Light,Thee Oh Sees,1,bay area indie
