,artistName,total_listens,genres
4260,Joey Bada$$,291,southern hip hop
2485,Drugdealer,288,psychedelic pop
6905,Real Estate,288,chillwave
2480,Drugdealer,288,experimental pop
6906,Real Estate,288,experimental pop
2481,Drugdealer,288,freak folk
6908,Real Estate,288,indie pop
2482,Drugdealer,288,indie garage rock
2483,Drugdealer,288,indie rock
6907,Real Estate,288,freak folk
6913,Real Estate,288,new jersey indie
6912,Real Estate,288,modern rock
6911,Real Estate,288,lo-fi
6910,Real Estate,288,indietronica
6909,Real Estate,288,indie rock
2484,Drugdealer,288,neo-psychedelic
6903,Real Estate,288,art pop
6916,Real Estate,288,shimmer pop
6915,Real Estate,288,nu gaze
6914,Real Estate,288,noise pop
6904,Real Estate,288,chamber pop
6628,Post Animal,276,indie garage rock
6629,Post Animal,276,neo-psychedelic
3856,J. Cole,275,hip hop
3855,J. Cole,275,conscious hip hop
3857,J. Cole,275,nc hip hop
3858,J. Cole,275,pop rap
3859,J. Cole,275,rap
8017,TV Girl,265,indietronica
8014,TV Girl,265,indie garage rock
8012,TV Girl,265,chillwave
8013,TV Girl,265,experimental pop
8015,TV Girl,265,indie pop
8016,TV Girl,265,indie rock
8011,TV Girl,265,art pop
9449,Unknown Mortal Orchestra,260,new rave
9450,Unknown Mortal Orchestra,260,portland hip hop
9447,Unknown Mortal Orchestra,260,kiwi rock
9442,Unknown Mortal Orchestra,260,dream pop
9441,Unknown Mortal Orchestra,260,chillwave
9446,Unknown Mortal Orchestra,260,indietronica
9443,Unknown Mortal Orchestra,260,indie pop
9448,Unknown Mortal Orchestra,260,neo-psychedelic
9444,Unknown Mortal Orchestra,260,indie rock
9451,Unknown Mortal Orchestra,260,psychedelic pop
9445,Unknown Mortal Orchestra,260,indie soul
8137,Tennis,249,denver indie
8134,Tennis,249,art pop
8136,Tennis,249,chillwave
8135,Tennis,249,chamber pop
8138,Tennis,249,dream pop
8139,Tennis,249,electropop
8144,Tennis,249,shimmer pop
8140,Tennis,249,experimental pop
8141,Tennis,249,indie pop
8142,Tennis,249,indie rock
8143,Tennis,249,indie surf
382,Arcade Fire,246,indietronica
373,Arcade Fire,246,alternative dance
374,Arcade Fire,246,alternative rock
375,Arcade Fire,246,baroque pop
377,Arcade Fire,246,chamber pop
378,Arcade Fire,246,dance-punk
379,Arcade Fire,246,garage rock
380,Arcade Fire,246,indie pop
381,Arcade Fire,246,indie rock
376,Arcade Fire,246,canadian indie
383,Arcade Fire,246,modern rock
385,Arcade Fire,246,permanent wave
386,Arcade Fire,246,quebec indie
387,Arcade Fire,246,rock
384,Arcade Fire,246,new rave
1314,Cage The Elephant,240,punk blues
1309,Cage The Elephant,240,garage rock
1311,Cage The Elephant,240,indie rock
1312,Cage The Elephant,240,modern alternative rock
1313,Cage The Elephant,240,modern rock
1310,Cage The Elephant,240,indie pop
1315,Cage The Elephant,240,rock
8852,The Shins,238,albuquerque indie
8861,The Shins,238,stomp and holler
8860,The Shins,238,portland indie
8859,The Shins,238,modern rock
8858,The Shins,238,indie rock
8857,The Shins,238,indie pop
8856,The Shins,238,indie folk
8854,The Shins,238,chamber pop
8853,The Shins,238,alternative rock
8855,The Shins,238,garage rock
8923,The Strokes,222,alternative rock
8927,The Strokes,222,rock
8926,The Strokes,222,permanent wave
8925,The Strokes,222,modern rock
8924,The Strokes,222,garage rock
1301,CHANCE THE RAPPER,214,chicago rap
1302,CHANCE THE RAPPER,214,conscious hip hop
1303,CHANCE THE RAPPER,214,hip hop
1304,CHANCE THE RAPPER,214,pop rap
1305,CHANCE THE RAPPER,214,rap
9202,Tom Misch,212,indie soul
4831,LCD Soundsystem,198,modern rock
4830,LCD Soundsystem,198,indietronica
4828,LCD Soundsystem,198,indie pop
4822,LCD Soundsystem,198,alternative dance
4832,LCD Soundsystem,198,new rave
4829,LCD Soundsystem,198,indie rock
4827,LCD Soundsystem,198,garage rock
4823,LCD Soundsystem,198,alternative rock
4824,LCD Soundsystem,198,dance-punk
4833,LCD Soundsystem,198,rock
4825,LCD Soundsystem,198,electronic rock
4826,LCD Soundsystem,198,electronica
8748,The National,198,modern rock
8747,The National,198,indie rock
8746,The National,198,chamber pop
3054,Foxygen,192,noise pop
3048,Foxygen,192,indie garage rock
3044,Foxygen,192,chamber pop
3045,Foxygen,192,experimental pop
3046,Foxygen,192,freak folk
3047,Foxygen,192,garage rock
3051,Foxygen,192,indietronica
3049,Foxygen,192,indie pop
3050,Foxygen,192,indie rock
3053,Foxygen,192,new rave
3042,Foxygen,192,alternative rock
3052,Foxygen,192,neo-psychedelic
3043,Foxygen,192,baroque pop
2420,Dr. Dog,190,garage rock
2427,Dr. Dog,190,shimmer pop
2419,Dr. Dog,190,funk
2422,Dr. Dog,190,indie pop
2423,Dr. Dog,190,indie rock
2424,Dr. Dog,190,modern folk rock
2425,Dr. Dog,190,modern rock
2426,Dr. Dog,190,philly indie
2428,Dr. Dog,190,stomp and holler
2418,Dr. Dog,190,chamber pop
2417,Dr. Dog,190,alternative rock
2421,Dr. Dog,190,indie folk
5572,Mick Jenkins,186,hip hop
5573,Mick Jenkins,186,rap
5574,Mick Jenkins,186,underground hip hop
5571,Mick Jenkins,186,escape room
5568,Mick Jenkins,186,chicago rap
5569,Mick Jenkins,186,conscious hip hop
5570,Mick Jenkins,186,drill
3062,Frank Ocean,178,alternative r&b
3063,Frank Ocean,178,hip hop
3065,Frank Ocean,178,neo soul
3066,Frank Ocean,178,pop
166,Alabama Shakes,178,rock
165,Alabama Shakes,178,modern blues rock
164,Alabama Shakes,178,indie rock
163,Alabama Shakes,178,alabama indie
3064,Frank Ocean,178,lgbtq+ hip hop
2122,Death Cab for Cutie,176,indie pop
2124,Death Cab for Cutie,176,modern rock
2123,Death Cab for Cutie,176,indie rock
2125,Death Cab for Cutie,176,pop rock
2126,Death Cab for Cutie,176,washington indie
5238,MGMT,168,rock
9012,The Walters,168,indie pop
5233,MGMT,168,garage rock
5234,MGMT,168,indie pop
5235,MGMT,168,indie rock
5236,MGMT,168,indietronica
5237,MGMT,168,modern rock
5232,MGMT,168,alternative dance
9010,The Walters,168,chicago indie
9011,The Walters,168,indie garage rock
1587,Chicano Batman,163,la indie
9115,Theo Katzman,160,retro soul
9114,Theo Katzman,160,modern funk
7725,St. Paul & The Broken Bones,159,soul
7723,St. Paul & The Broken Bones,159,indie folk
7722,St. Paul & The Broken Bones,159,funk
7724,St. Paul & The Broken Bones,159,retro soul
0,(Sandy) Alex G,157,alternative rock
12,(Sandy) Alex G,157,philly indie
1,(Sandy) Alex G,157,art pop
2,(Sandy) Alex G,157,chamber pop
3,(Sandy) Alex G,157,dream pop
4,(Sandy) Alex G,157,experimental pop
5,(Sandy) Alex G,157,freak folk
6,(Sandy) Alex G,157,indie folk
7,(Sandy) Alex G,157,indie garage rock
8,(Sandy) Alex G,157,indie pop
9,(Sandy) Alex G,157,indie rock
10,(Sandy) Alex G,157,lo-fi
11,(Sandy) Alex G,157,noise pop
4110,Jeff Rosenstock,153,anti-folk
4109,Jeff Rosenstock,153,alternative emo
4113,Jeff Rosenstock,153,indie punk
4115,Jeff Rosenstock,153,lo-fi
4116,Jeff Rosenstock,153,modern power pop
4114,Jeff Rosenstock,153,indie rock
4112,Jeff Rosenstock,153,folk punk
4111,Jeff Rosenstock,153,emo
7692,Spin Doctors,147,post-grunge
7693,Spin Doctors,147,rock
7691,Spin Doctors,147,pop rock
7690,Spin Doctors,147,alternative rock
7887,Sufjan Stevens,146,singer-songwriter
7886,Sufjan Stevens,146,indie folk
7885,Sufjan Stevens,146,freak folk
7884,Sufjan Stevens,146,chamber pop
7883,Sufjan Stevens,146,baroque pop
8972,The Velvet Underground,142,art rock
8973,The Velvet Underground,142,classic rock
8974,The Velvet Underground,142,folk rock
8979,The Velvet Underground,142,rock
8978,The Velvet Underground,142,psychedelic rock
8971,The Velvet Underground,142,alternative rock
8977,The Velvet Underground,142,protopunk
8976,The Velvet Underground,142,permanent wave
8975,The Velvet Underground,142,melancholia
9568,Wallows,139,rock
9567,Wallows,139,modern rock
9566,Wallows,139,indie pop
8119,Temples,138,neo-psychedelic
8118,Temples,138,garage rock
4269,Johann Sebastian Bach,136,classical
4271,Johann Sebastian Bach,136,german baroque
4268,Johann Sebastian Bach,136,baroque
4270,Johann Sebastian Bach,136,early music
7222,Saba,133,rap
7223,Saba,133,underground hip hop
7221,Saba,133,hip hop
7220,Saba,133,chicago rap
10042,boy pablo,132,indie pop
10041,boy pablo,132,bergen indie
10043,boy pablo,132,norwegian indie
10040,boy pablo,132,bedroom pop
4934,Leon Bridges,131,soul
4933,Leon Bridges,131,modern blues
