,trackName,artistName,total_listens_track,genres
13874,Drunk In LA,Beach House,26,chamber pop
55681,Were You Saying Something?,Drugdealer,26,indie rock
10421,Cosmic Hero,Car Seat Headrest,26,anti-folk
42893,"Shadow Man (feat. Phoelix, Smino & Saba)",Noname,26,hip hop
48446,Television / So Far So Good,Rex Orange County,26,bedroom pop
19838,Had To Hear,Real Estate,26,indie pop
45219,South of the River,Tom Misch,26,indie soul
25282,Isnt She Lovely,Tom Misch,26,indie soul
39663,Ralphie,Post Animal,26,neo-psychedelic
4131,Ballad of the Dying Man,Father John Misty,26,stomp and holler
56116,Whats the Use?,Mac Miller,26,pittsburgh rap
23330,I Love You So,The Walters,26,indie garage rock
25400,It Might Be Time,Tame Impala,26,australian psych
49049,The Ballad of the Costa Concordia,Car Seat Headrest,26,indie pop
40074,Reborn,KIDS SEE GHOSTS,26,rap
13964,Dunes,Alabama Shakes,25,rock
6703,Break up Together,Theo Katzman,25,retro soul
55731,Weve Come So Far,Tom Misch,25,indie soul
24438,Im Torn Up,St. Paul & The Broken Bones,25,funk
44512,So Says I,The Shins,25,indie folk
19578,Ground,Wallows,25,rock
53752,Under the Pines,Twin Peaks,25,indie rock
27562,Ladders,Mac Miller,25,hip hop
17553,Fukk Sleep (feat. FKA twigs),A$AP Rocky,25,hip hop
59231,untitled 06 | 06.30.2014.,Kendrick Lamar,25,hip hop
15629,Fancy Shoes,The Walters,24,indie garage rock
9499,Clean White Noise,White Noise Therapy,24,sleep
28168,Lemon Glow,Beach House,24,indie rock
44665,Soma,The Strokes,24,permanent wave
15464,Faith,Lake Street Dive,24,new americana
59222,untitled 04 | 08.14.2014.,Kendrick Lamar,24,conscious hip hop
53570,Unbearably White,Vampire Weekend,24,modern rock
59226,untitled 05 | 09.21.2014.,Kendrick Lamar,24,conscious hip hop
7364,Buzzing in the Light,Dr. Dog,24,stomp and holler
37495,Pay No Mind,Beach House,24,art pop
58520,Young Pilgrims,The Shins,24,modern rock
37966,Pictures of Girls,Wallows,24,indie pop
30470,Magnet,NRBQ,24,roots rock
46632,Suddenly,Drugdealer,24,psychedelic pop
59236,untitled 07 | 2014 - 2016,Kendrick Lamar,23,rap
21353,High to Death,Car Seat Headrest,23,indie pop
58822,Z Expression,Delicate Steve,23,new jersey indie
19032,Good Life,Kanye West,23,chicago rap
22457,Hunnybee,Unknown Mortal Orchestra,23,indie rock
2232,All We Got (feat. Kanye West & Chicago Childrens Choir),Chance the Rapper,23,rap
380,1937 State Park,Car Seat Headrest,23,chamber pop
46835,Sugar Splash,Delicate Steve,23,new jersey indie
25241,Is This It,The Strokes,23,rock
14652,Enough!!,A Tribe Called Quest,23,hip hop
5368,Birds Dont Sing,TV Girl,23,chillwave
22222,How Great (feat. Jay Electronica & My cousin Nicole),Chance the Rapper,23,hip hop
478,2021,Vampire Weekend,23,modern rock
57834,Yes Im Changing,Tame Impala,23,neo-psychedelic
32573,Motiv8,J. Cole,23,rap
37386,Passed You By,Chicano Batman,23,la indie
20038,Hannah Hunt,Vampire Weekend,23,modern rock
30183,Loving Is Easy,Rex Orange County,23,pop
20013,Hang On,Lake Street Dive,23,boston rock
26744,Kamera,Wilco,23,alternative country
54117,Used To Be Lonely,Whitney,23,chamber pop
33723,Neighborhood #1 (Tunnels),Arcade Fire,23,alternative rock
13965,Dunno,Mac Miller,23,hip hop
356,1612,Vulfpeck,23,ann arbor indie
14473,Elephant,Tame Impala,23,neo-psychedelic
14172,Easy to Forget,Drugdealer,22,psychedelic pop
