,artistName,total_listens,genres
8141,Tennis,249,experimental pop
8145,Tennis,249,shimmer pop
378,Arcade Fire,246,dance-punk
380,Arcade Fire,246,indie pop
386,Arcade Fire,246,quebec indie
385,Arcade Fire,246,permanent wave
384,Arcade Fire,246,new rave
383,Arcade Fire,246,modern rock
382,Arcade Fire,246,indietronica
381,Arcade Fire,246,indie rock
379,Arcade Fire,246,garage rock
377,Arcade Fire,246,chamber pop
373,Arcade Fire,246,alternative dance
374,Arcade Fire,246,alternative rock
375,Arcade Fire,246,baroque pop
376,Arcade Fire,246,canadian indie
387,Arcade Fire,246,rock
1313,Cage The Elephant,240,modern rock
1312,Cage The Elephant,240,modern alternative rock
1309,Cage The Elephant,240,garage rock
1315,Cage The Elephant,240,rock
1314,Cage The Elephant,240,punk blues
1311,Cage The Elephant,240,indie rock
1310,Cage The Elephant,240,indie pop
8860,The Shins,238,modern rock
8853,The Shins,238,albuquerque indie
8856,The Shins,238,garage rock
8857,The Shins,238,indie folk
8858,The Shins,238,indie pop
8859,The Shins,238,indie rock
8854,The Shins,238,alternative rock
8861,The Shins,238,portland indie
8862,The Shins,238,stomp and holler
8855,The Shins,238,chamber pop
8928,The Strokes,222,rock
8927,The Strokes,222,permanent wave
8926,The Strokes,222,modern rock
8925,The Strokes,222,garage rock
8924,The Strokes,222,alternative rock
1301,CHANCE THE RAPPER,214,chicago rap
1302,CHANCE THE RAPPER,214,conscious hip hop
1303,CHANCE THE RAPPER,214,hip hop
1305,CHANCE THE RAPPER,214,rap
1304,CHANCE THE RAPPER,214,pop rap
9203,Tom Misch,212,indie soul
4823,LCD Soundsystem,198,alternative rock
4824,LCD Soundsystem,198,dance-punk
4822,LCD Soundsystem,198,alternative dance
8749,The National,198,modern rock
8748,The National,198,indie rock
4828,LCD Soundsystem,198,indie pop
4827,LCD Soundsystem,198,garage rock
4825,LCD Soundsystem,198,electronic rock
4826,LCD Soundsystem,198,electronica
8747,The National,198,chamber pop
4833,LCD Soundsystem,198,rock
4832,LCD Soundsystem,198,new rave
4829,LCD Soundsystem,198,indie rock
4830,LCD Soundsystem,198,indietronica
4831,LCD Soundsystem,198,modern rock
3046,Foxygen,192,freak folk
3054,Foxygen,192,noise pop
3043,Foxygen,192,baroque pop
3044,Foxygen,192,chamber pop
3045,Foxygen,192,experimental pop
3042,Foxygen,192,alternative rock
3048,Foxygen,192,indie garage rock
3052,Foxygen,192,neo-psychedelic
3049,Foxygen,192,indie pop
3053,Foxygen,192,new rave
3047,Foxygen,192,garage rock
3051,Foxygen,192,indietronica
3050,Foxygen,192,indie rock
2428,Dr. Dog,190,stomp and holler
2419,Dr. Dog,190,funk
2427,Dr. Dog,190,shimmer pop
2425,Dr. Dog,190,modern rock
2424,Dr. Dog,190,modern folk rock
2423,Dr. Dog,190,indie rock
2422,Dr. Dog,190,indie pop
2421,Dr. Dog,190,indie folk
2417,Dr. Dog,190,alternative rock
2418,Dr. Dog,190,chamber pop
2426,Dr. Dog,190,philly indie
2420,Dr. Dog,190,garage rock
5574,Mick Jenkins,186,underground hip hop
5573,Mick Jenkins,186,rap
5572,Mick Jenkins,186,hip hop
5571,Mick Jenkins,186,escape room
5570,Mick Jenkins,186,drill
5569,Mick Jenkins,186,conscious hip hop
5568,Mick Jenkins,186,chicago rap
166,Alabama Shakes,178,rock
3066,Frank Ocean,178,pop
165,Alabama Shakes,178,modern blues rock
164,Alabama Shakes,178,indie rock
163,Alabama Shakes,178,alabama indie
3063,Frank Ocean,178,hip hop
3064,Frank Ocean,178,lgbtq+ hip hop
3065,Frank Ocean,178,neo soul
3062,Frank Ocean,178,alternative r&b
2126,Death Cab for Cutie,176,washington indie
2124,Death Cab for Cutie,176,modern rock
2123,Death Cab for Cutie,176,indie rock
2122,Death Cab for Cutie,176,indie pop
2125,Death Cab for Cutie,176,pop rock
5237,MGMT,168,modern rock
9013,The Walters,168,indie pop
9012,The Walters,168,indie garage rock
9011,The Walters,168,chicago indie
5232,MGMT,168,alternative dance
5238,MGMT,168,rock
5236,MGMT,168,indietronica
5235,MGMT,168,indie rock
5234,MGMT,168,indie pop
5233,MGMT,168,garage rock
1587,Chicano Batman,163,la indie
9115,Theo Katzman,160,modern funk
9116,Theo Katzman,160,retro soul
7723,St. Paul & The Broken Bones,159,funk
7725,St. Paul & The Broken Bones,159,retro soul
7726,St. Paul & The Broken Bones,159,soul
7724,St. Paul & The Broken Bones,159,indie folk
2,(Sandy) Alex G,157,chamber pop
3,(Sandy) Alex G,157,dream pop
4,(Sandy) Alex G,157,experimental pop
12,(Sandy) Alex G,157,philly indie
5,(Sandy) Alex G,157,freak folk
6,(Sandy) Alex G,157,indie folk
7,(Sandy) Alex G,157,indie garage rock
9,(Sandy) Alex G,157,indie rock
10,(Sandy) Alex G,157,lo-fi
11,(Sandy) Alex G,157,noise pop
1,(Sandy) Alex G,157,art pop
8,(Sandy) Alex G,157,indie pop
0,(Sandy) Alex G,157,alternative rock
4115,Jeff Rosenstock,153,lo-fi
4109,Jeff Rosenstock,153,alternative emo
4114,Jeff Rosenstock,153,indie rock
4113,Jeff Rosenstock,153,indie punk
4112,Jeff Rosenstock,153,folk punk
4111,Jeff Rosenstock,153,emo
4110,Jeff Rosenstock,153,anti-folk
4116,Jeff Rosenstock,153,modern power pop
7693,Spin Doctors,147,post-grunge
7691,Spin Doctors,147,alternative rock
7692,Spin Doctors,147,pop rock
7694,Spin Doctors,147,rock
7888,Sufjan Stevens,146,singer-songwriter
7886,Sufjan Stevens,146,freak folk
7885,Sufjan Stevens,146,chamber pop
7884,Sufjan Stevens,146,baroque pop
7887,Sufjan Stevens,146,indie folk
8972,The Velvet Underground,142,alternative rock
8977,The Velvet Underground,142,permanent wave
8974,The Velvet Underground,142,classic rock
8975,The Velvet Underground,142,folk rock
8976,The Velvet Underground,142,melancholia
8973,The Velvet Underground,142,art rock
8978,The Velvet Underground,142,protopunk
8979,The Velvet Underground,142,psychedelic rock
8980,The Velvet Underground,142,rock
9568,Wallows,139,modern rock
9569,Wallows,139,rock
9567,Wallows,139,indie pop
8120,Temples,138,neo-psychedelic
8119,Temples,138,garage rock
4269,Johann Sebastian Bach,136,classical
4270,Johann Sebastian Bach,136,early music
4268,Johann Sebastian Bach,136,baroque
4271,Johann Sebastian Bach,136,german baroque
7223,Saba,133,underground hip hop
7220,Saba,133,chicago rap
7221,Saba,133,hip hop
7222,Saba,133,rap
10042,boy pablo,132,bergen indie
